iter	Passed	Remaining
0	26	26764
1	42	21455
2	55	18465
3	68	17038
4	76	15261
5	90	14966
6	103	14627
7	125	15524
8	143	15776
9	155	15394
10	166	15014
11	179	14741
12	188	14344
13	201	14185
14	211	13878
15	252	15534
16	270	15644
17	325	17735
18	343	17723
19	372	18266
20	391	18236
21	413	18387
22	431	18327
23	449	18267
24	469	18319
25	487	18269
26	500	18043
27	512	17790
28	522	17501
29	536	17341
30	550	17213
31	566	17147
32	580	17004
33	593	16861
34	603	16630
35	617	16535
36	630	16422
37	644	16315
38	660	16264
39	669	16068
40	681	15934
41	691	15784
42	701	15615
43	712	15476
44	722	15328
45	730	15158
46	741	15042
47	750	14876
48	764	14828
49	776	14746
50	791	14719
51	804	14672
52	816	14590
53	830	14545
54	843	14494
55	857	14448
56	877	14520
57	897	14572
58	910	14516
59	922	14458
60	933	14362
61	942	14260
62	954	14189
63	962	14073
64	973	14009
65	985	13948
66	996	13870
67	1005	13781
68	1015	13708
69	1026	13632
70	1037	13577
71	1049	13525
72	1058	13436
73	1071	13407
74	1082	13349
75	1092	13283
76	1103	13224
77	1114	13172
78	1126	13129
79	1170	13463
80	1184	13433
81	1195	13383
82	1210	13374
83	1232	13443
84	1246	13417
85	1256	13353
86	1265	13279
87	1317	13651
88	1344	13763
89	1357	13727
90	1374	13733
91	1390	13725
92	1404	13697
93	1413	13626
94	1426	13591
95	1438	13545
96	1447	13473
97	1460	13444
98	1473	13414
99	1487	13387
100	1497	13325
101	1509	13288
102	1521	13249
103	1530	13181
104	1541	13137
105	1552	13094
106	1561	13028
107	1575	13008
108	1587	12976
109	1599	12942
110	1608	12878
111	1619	12841
112	1631	12804
113	1640	12748
114	1654	12729
115	1666	12698
116	1676	12651
117	1689	12628
118	1701	12599
119	1714	12575
120	1723	12517
121	1735	12493
122	1750	12481
123	1768	12490
124	1786	12502
125	1803	12506
126	1814	12475
127	1823	12423
128	1837	12406
129	1848	12371
130	1863	12358
131	1878	12349
132	1887	12304
133	1905	12313
134	1917	12289
135	1932	12275
136	1944	12249
137	1959	12239
138	1972	12221
139	1982	12179
140	1996	12160
141	2007	12130
142	2016	12085
143	2027	12052
144	2038	12021
145	2048	11983
146	2062	11965
147	2078	11967
148	2092	11951
149	2105	11931
150	2122	11931
151	2135	11915
152	2147	11888
153	2158	11859
154	2174	11852
155	2187	11834
156	2201	11819
157	2219	11828
158	2239	11845
159	2255	11842
160	2280	11884
161	2297	11885
162	2307	11851
163	2319	11823
164	2331	11799
165	2346	11789
166	2356	11753
167	2369	11734
168	2384	11725
169	2398	11712
170	2410	11688
171	2426	11682
172	2438	11658
173	2450	11633
174	2466	11627
175	2480	11615
176	2493	11594
177	2505	11568
178	2514	11534
179	2526	11509
180	2539	11492
181	2549	11459
182	2560	11433
183	2573	11410
184	2585	11392
185	2601	11384
186	2613	11363
187	2626	11346
188	2641	11334
189	2656	11327
190	2671	11315
191	2685	11301
192	2708	11324
193	2734	11360
194	2744	11328
195	2753	11294
196	2764	11268
197	2772	11230
198	2784	11207
199	2795	11182
200	2803	11145
201	2815	11124
202	2829	11109
203	2844	11097
204	2853	11064
205	2863	11038
206	2876	11018
207	2884	10984
208	2896	10962
209	2907	10939
210	2919	10915
211	2934	10907
212	2949	10899
213	2964	10886
214	2978	10874
215	2991	10857
216	3003	10839
217	3014	10814
218	3031	10812
219	3048	10807
220	3063	10800
221	3078	10786
222	3091	10770
223	3107	10763
224	3125	10765
225	3139	10752
226	3151	10732
227	3160	10700
228	3174	10688
229	3187	10671
230	3201	10658
231	3217	10651
232	3228	10626
233	3242	10615
234	3258	10606
235	3274	10601
236	3288	10587
237	3301	10568
238	3316	10558
239	3343	10586
240	3369	10612
241	3384	10600
242	3401	10595
243	3418	10590
244	3432	10576
245	3444	10556
246	3450	10517
247	3462	10499
248	3470	10468
249	3482	10446
250	3493	10424
251	3501	10393
252	3516	10382
253	3534	10380
254	3551	10375
255	3564	10358
256	3576	10339
257	3584	10309
258	3598	10294
259	3613	10283
260	3628	10273
261	3645	10267
262	3658	10252
263	3668	10226
264	3684	10218
265	3699	10209
266	3722	10220
267	3739	10213
268	3758	10213
269	3771	10197
270	3780	10168
271	3791	10148
272	3802	10125
